,Unnamed: 0,AB,TI,year,SO,DT,PM,methods,MNCS,methods2
5,5,"This meta-analytic connectivity modeling (MACM) study explores the functional connectivity of the cerebellum with the cerebrum in social cognitive processes. In a recent meta-analysis, Van Over-walle, Baetens, Marien, and Vandekerckhove (2014) documented that the cerebellum is implicated in social processes of ""body"" reading (mirroring; e.g., understanding other persons' intentions from observing their movements) and ""mind"" reading (mentalizing, e.g., inferring other persons' beliefs, intentions or personality traits, reconstructing persons' past, future, or hypothetical events). In a recent functional connectivity study, Buckner et al. (2011) offered a novel parcellation of cerebellar topography that substantially overlaps with the cerebellar meta-analytic findings of Van Overwalle et al. (2014). This overlap suggests that the involvement of the cerebellum in social reasoning depends on its functional connectivity with the cerebrum. To test this hypothesis, we explored the meta-analytic co-activations as indices of functional connectivity between the cerebellum and the cerebrum during social cognition. The MACM results confirm substantial and distinct connectivity with respect to the functions of (a) action understanding (""body"" reading) and (b) mentalizing (""mind"" reading). The consistent and strong connectivity findings of this analysis suggest that cerebellar activity during social judgments reflects distinct mirroring and mentalizing functionality, and that these cerebellar functions are connected with corresponding functional networks in the cerebrum. (C) 2015 Wiley Periodicals, Inc.",Social Cognition and the Cerebellum: A Meta-Analytic Connectivity Analysis,2015,HUMAN BRAIN MAPPING,Article,26419890,['nomethod'],1.76,nomethod
6,6,"The use of resting state fMRI (rs-fMRI) in translational research is a powerful tool to assess brain connectivity and investigate neuropathology in mouse models. However, despite encouraging initial results, the characterization of consistent and robust resting state networks in mice remains a methodological challenge. One key reason is that the quality of the measured MR signal is degraded by the presence of structural noise from non-neural sources. Notably, in the current pipeline of the Human Connectome Project, a novel approach has been introduced to clean rs-fMRI data, which involves automatic artifact component classification and data cleaning (FIX). FIX does not require any external recordings of physiology or the segmentation of CSF and white matter. In this study, we evaluated the performance of FIX for analyzing mouse rs-fMRI data. Our results showed that FIX can be easily applied to mouse datasets and detects true signals with 100% accuracy and true noise components with very high accuracy (>98%), thus reducing both within-and between-subject variability of rs-fMRI connectivity measurements. Using this improved pre-processing pipeline, maps of 23 resting state circuits in mice were identified including two networks that displayed default mode network-like topography. Hierarchical clustering grouped these neural networks into meaningful larger functional circuits. These mouse resting state networks, which are publicly available, might serve as a reference for future work using mouse models of neurological disorders. (C) 2015 Elsevier Inc. All rights reserved.",Mapping the mouse brain with rs-fMRI: An optimized pipeline for functional network identification,2015,NEUROIMAGE,Article,26296501,"['fMRI', 'rsFMRI']",1.78,fMRI
6,6,"The use of resting state fMRI (rs-fMRI) in translational research is a powerful tool to assess brain connectivity and investigate neuropathology in mouse models. However, despite encouraging initial results, the characterization of consistent and robust resting state networks in mice remains a methodological challenge. One key reason is that the quality of the measured MR signal is degraded by the presence of structural noise from non-neural sources. Notably, in the current pipeline of the Human Connectome Project, a novel approach has been introduced to clean rs-fMRI data, which involves automatic artifact component classification and data cleaning (FIX). FIX does not require any external recordings of physiology or the segmentation of CSF and white matter. In this study, we evaluated the performance of FIX for analyzing mouse rs-fMRI data. Our results showed that FIX can be easily applied to mouse datasets and detects true signals with 100% accuracy and true noise components with very high accuracy (>98%), thus reducing both within-and between-subject variability of rs-fMRI connectivity measurements. Using this improved pre-processing pipeline, maps of 23 resting state circuits in mice were identified including two networks that displayed default mode network-like topography. Hierarchical clustering grouped these neural networks into meaningful larger functional circuits. These mouse resting state networks, which are publicly available, might serve as a reference for future work using mouse models of neurological disorders. (C) 2015 Elsevier Inc. All rights reserved.",Mapping the mouse brain with rs-fMRI: An optimized pipeline for functional network identification,2015,NEUROIMAGE,Article,26296501,"['fMRI', 'rsFMRI']",1.78,rsFMRI
7,7,"Under weak and reasonable assumptions, mainly that data are exchangeable under the null hypothesis, permutation tests can provide exact control of false positives and allow the use of various non-standard statistics. There are, however, various common examples in which global exchangeability can be violated, including paired tests, tests that involve repeated measurements, tests in which subjects are relatives (members of pedigrees) - any dataset with known dependence among observations. In these cases, some permutations, if performed, would create data that would not possess the original dependence structure, and thus, should not be used to construct the reference (null) distribution. To allow permutation inference in such cases, we test the null hypothesis using only a subset of all otherwise possible permutations, i.e., using only the rearrangements of the data that respect exchangeability, thus retaining the original joint distribution unaltered. In a previous study, we defined exchangeability for blocks of data, as opposed to each datum individually, then allowing permutations to happen within block, or the blocks as a whole to be permuted. Here we extend that notion to allow blocks to be nested, in a hierarchical, multi-level definition. We do not explicitly model the degree of dependence between observations, only the lack of independence; the dependence is implicitly accounted for by the hierarchy and by the permutation scheme. The strategy is compatible with heteroscedasticity and variance groups, and can be used with permutations, sign flippings, or both combined. We evaluate the method for various dependence structures, apply it to real data from the Human Connectome Project (HCP) as an example application, show that false positives can be avoided in such cases, and provide a software implementation of the proposed approach. (C) 2015 The Authors. Published by Elsevier Inc.",Multi-level block permutation,2015,NEUROIMAGE,Article,26074200,['nomethod'],2.21,nomethod
8,8,"Initially described as task-induced deactivations during goal-directed paradigms of high attentional load, the unresolved functionality of default mode regions has long been assumed to interfere with task performance. However, recent evidence suggests a potential default mode network involvement in fulfilling cognitive demands. We tested this hypothesis in a finger opposition paradigm with task and fixation periods which we compared with an independent resting state scan using functional magnetic resonance imaging and a comprehensive analysis pipeline including activation, functional connectivity, behavioural and graph theoretical assessments. The results indicate task specific changes in the default mode network topography. Behaviourally, we show that increased connectivity of the posterior cingulate cortex with the left superior frontal gyrus predicts faster reaction times. Moreover, interactive and dynamic reconfiguration of the default mode network regions' functional connections illustrates their involvement with the task at hand with higher-level global parallel processing power, yet preserved small-world architecture in comparison with rest. These findings demonstrate that the default mode network does not disengage during this paradigm, but instead may be involved in task relevant processing. (C) 2015 The Authors. Published by Elsevier Inc.",Default mode network connectivity during task execution,2015,NEUROIMAGE,Article,26220743,['rsFMRI'],1.78,rsFMRI
9,9,"The examination of functional connectivity in fMRI data collected during task-free ""rest"" has provided a powerful tool for studying functional brain organization. Limitations of this approach include susceptibility to head motion artifacts and participant drowsiness or sleep. These issues are especially relevant when studying young children or clinical populations. Here we introduce a movie paradigm, Inscapes, that features abstract shapes without a narrative or scene-cuts. The movie was designed to provide enough stimulation to improve compliance related to motion and wakefulness while minimizing cognitive load during the collection of functional imaging data. We compare Inscapes to eyes-open rest and to age-appropriate movie clips in healthy adults (Ocean's Eleven, n = 22) and a pilot sample of typically developing children ages 3-7 (Fantasia, n = 13). Head motion was significantly lower during both movies relative to rest for both groups. In adults, movies decreased the number of participants who self-reported sleep. Intersubject correlations, used to quantify synchronized, task-evoked activity across movie and rest conditions in adults, involved less cortex during Inscapes than Ocean's Eleven. To evaluate the effect of movie-watching on intrinsic functional connectivity networks, we examined mean functional connectivity using both whole-brain functional parcellation and network-based approaches. Both inter-and intra-network metrics were more similar between Inscapes and Rest than between Ocean's Eleven and Rest, particularly in comparisons involving the default network. When comparing movies to Rest, the mean functional connectivity of somatomotor, visual and ventral attention networks differed significantly across various analyses. We conclude that low-demand movies like Inscapes may represent a useful intermediate condition between task-free rest and typical narrative movies while still improving participant compliance. Inscapes is publicly available for download at headspacestudios.org/inscapes. (C) 2015 Elsevier Inc. All rights reserved.",Inscapes: A movie paradigm to improve compliance in functional magnetic resonance imaging,2015,NEUROIMAGE,Article,26241683,['fMRI'],2.02,fMRI
10,10,"Schizophrenia (SZ), bipolar disorder (BP) and schizoaffective disorder (SAD) share some common symptoms, and there is still a debate about whether SAD is an independent category. To the best of our knowledge, no study has been done to differentiate these three disorders or to investigate the distinction of SAD as an independent category using fMRI data. This study is aimed to explore biomarkers from resting-state fMRI networks for differentiating these disorders and investigate the relationship among these disorders based on fMRI networks with an emphasis on SAD. Firstly, a novel group ICA method, group information guided independent component analysis (GIG-ICA), was applied to extract subject-specific brain networks from fMRI data of 20 healthy controls (HC), 20 SZ patients, 20 BP patients, 20 patients suffering from SAD with manic episodes (SADM), and 13 patients suffering from SAD with depressive episodes exclusively (SADD). Then, five-level one-way analysis of covariance and multiclass support vector machine recursive feature elimination were employed to identify discriminative regions from the networks. Subsequently, the t-distributed stochastic neighbor embedding (t-SNE) projection and the hierarchical clustering were implemented to investigate the relationship among those groups. Finally, to evaluate the generalization ability, 16 new subjects were classified based on the found regions and the trained model using original 93 subjects. Results show that the discriminative regions mainly included frontal, parietal, precuneus, cingulate, supplementary motor, cerebellar, insula and supramarginal cortices, which performed well in distinguishing different groups. SADM and SADD were the most similar to each other, although SADD had greater similarity to SZ compared to other groups, which indicates that SAD may be an independent category. BP was closer to HC compared with other psychotic disorders. In summary, resting-state fMRI brain networks extracted via GIG-ICA provide a promising potential to differentiate SZ, BP, and SAD. (C) 2015 Elsevier Inc. All rights reserved.","A group ICA based framework for evaluating resting fMRI markers when disease categories are unclear: application to schizophrenia, bipolar, and schizoaffective disorders",2015,NEUROIMAGE,Article,26216278,"['fMRI', 'rsFMRI']",1.94,fMRI
10,10,"Schizophrenia (SZ), bipolar disorder (BP) and schizoaffective disorder (SAD) share some common symptoms, and there is still a debate about whether SAD is an independent category. To the best of our knowledge, no study has been done to differentiate these three disorders or to investigate the distinction of SAD as an independent category using fMRI data. This study is aimed to explore biomarkers from resting-state fMRI networks for differentiating these disorders and investigate the relationship among these disorders based on fMRI networks with an emphasis on SAD. Firstly, a novel group ICA method, group information guided independent component analysis (GIG-ICA), was applied to extract subject-specific brain networks from fMRI data of 20 healthy controls (HC), 20 SZ patients, 20 BP patients, 20 patients suffering from SAD with manic episodes (SADM), and 13 patients suffering from SAD with depressive episodes exclusively (SADD). Then, five-level one-way analysis of covariance and multiclass support vector machine recursive feature elimination were employed to identify discriminative regions from the networks. Subsequently, the t-distributed stochastic neighbor embedding (t-SNE) projection and the hierarchical clustering were implemented to investigate the relationship among those groups. Finally, to evaluate the generalization ability, 16 new subjects were classified based on the found regions and the trained model using original 93 subjects. Results show that the discriminative regions mainly included frontal, parietal, precuneus, cingulate, supplementary motor, cerebellar, insula and supramarginal cortices, which performed well in distinguishing different groups. SADM and SADD were the most similar to each other, although SADD had greater similarity to SZ compared to other groups, which indicates that SAD may be an independent category. BP was closer to HC compared with other psychotic disorders. In summary, resting-state fMRI brain networks extracted via GIG-ICA provide a promising potential to differentiate SZ, BP, and SAD. (C) 2015 Elsevier Inc. All rights reserved.","A group ICA based framework for evaluating resting fMRI markers when disease categories are unclear: application to schizophrenia, bipolar, and schizoaffective disorders",2015,NEUROIMAGE,Article,26216278,"['fMRI', 'rsFMRI']",1.94,rsFMRI
11,11,"Mapping structural connectivity in healthy adults for the Human Connectome Project (HCP) benefits from high quality, high resolution, multiband (MB)-accelerated whole brain diffusion MRI (dMRI). Acquiring such data at ultrahigh fields (7 T and above) can improve intrinsic signal-to-noise ratio (SNR), but suffers from shorter T-2 and T-2. relaxation times, increased B-1(+) inhomogeneity (resulting in signal loss in cerebellar and temporal lobe regions), and increased power deposition (i.e. specific absorption rate (SAR)), thereby limiting our ability to reduce the repetition time (TR). Here, we present recent developments and optimizations in 7 T image acquisitions for the HCP that allow us to efficiently obtain high quality, high resolution whole brain in-vivo dMRI data at 7 T. These data show spatial details typically seen only in ex-vivo studies and complement already very high quality 3 T HCP data in the same subjects. The advances are the result of intensive pilot studies aimed at mitigating the limitations of dMRI at 7 T. The data quality and methods described here are representative of the datasets that will be made freely available to the community in 2015. (C) 2015 Elsevier Inc. All rights reserved.",High resolution whole brain diffusion imaging at 7 T for the Human Connectome Project,2015,NEUROIMAGE,Article,26260428,"['DTI', 'MRI']",2.48,DTI
11,11,"Mapping structural connectivity in healthy adults for the Human Connectome Project (HCP) benefits from high quality, high resolution, multiband (MB)-accelerated whole brain diffusion MRI (dMRI). Acquiring such data at ultrahigh fields (7 T and above) can improve intrinsic signal-to-noise ratio (SNR), but suffers from shorter T-2 and T-2. relaxation times, increased B-1(+) inhomogeneity (resulting in signal loss in cerebellar and temporal lobe regions), and increased power deposition (i.e. specific absorption rate (SAR)), thereby limiting our ability to reduce the repetition time (TR). Here, we present recent developments and optimizations in 7 T image acquisitions for the HCP that allow us to efficiently obtain high quality, high resolution whole brain in-vivo dMRI data at 7 T. These data show spatial details typically seen only in ex-vivo studies and complement already very high quality 3 T HCP data in the same subjects. The advances are the result of intensive pilot studies aimed at mitigating the limitations of dMRI at 7 T. The data quality and methods described here are representative of the datasets that will be made freely available to the community in 2015. (C) 2015 Elsevier Inc. All rights reserved.",High resolution whole brain diffusion imaging at 7 T for the Human Connectome Project,2015,NEUROIMAGE,Article,26260428,"['DTI', 'MRI']",2.48,MRI
12,12,"Functional connectivity provides an informative and powerful framework for exploring brain organization. Despite this, few statistical methods are available for the accurate estimation of dynamic changes in functional network architecture. To date, the majority of existing statistical techniques have assumed that connectivity structure is stationary, which is in direct contrast to emerging data that suggests that the strength of connectivity between regions is variable over time. Therefore, the development of statistical methods that enable exploration of dynamic changes in functional connectivity is currently of great importance to the neuroscience community. In this paper, we introduce the 'Multiplication of Temporal Derivatives' (MTD) and then demonstrate the utility of this metric to: (i) detect dynamic changes in connectivity using data from a novel state-switching simulation; (ii) accurately estimate graph structure in a previously-described 'ground-truth' simulated dataset; and (iii) identify task-driven alterations in functional connectivity. We show that theMTD is more sensitive than existing sliding-window methods in detecting dynamic alterations in connectivity structure across a range of correlation strengths and window lengths in simulated data. In addition to the temporal precision offered by MTD, we demonstrate that the metric is also able to accurately estimate stationary network structure in both simulated and real task-based data, suggesting that the method may be used to identify dynamic changes in network structure as they evolve through time. (C) 2015 Elsevier Inc. All rights reserved.",Estimation of dynamic functional connectivity using Multiplication of Temporal Derivatives,2015,NEUROIMAGE,Article,26231247,['nomethod'],1.94,nomethod
