Title ,PMID,Point,MNCS,Rank,Percent,Year,Journal
Gray Matter Alterations in Young Children with Autism Spectrum Disorders: Comparing Morphometry at t,26214066,4370,2.743142145,348,94%,2015,JOURNAL OF NEUROIMAGING
Spontaneous intracerebral hematoma on diffusion-weighted images: Influence of T2-shine-through and T,15709118,35,2.74,349,94%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
Stent-Assisted Coiling in Endovascular Treatment of 500 Consecutive Cerebral Aneurysms with Long-Ter,23886748,2596,2.74,349,94%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Pipeline Embolization Device in Aneurysmal Subarachnoid Hemorrhage,23064594,2611,2.74,349,94%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Mapping hypercapnia-induced cerebrovascular reactivity using BOLD MRI,15616848,4518,2.739726027,352,94%,2005,NEURORADIOLOGY
Neocortical Atrophy in Machado-Joseph Disease: A Longitudinal Neuroimaging Study,21699609,4082,2.721893491,353,94%,2012,JOURNAL OF NEUROIMAGING
Differentiation of benign and malignant pathology in the head and neck using 3T apparent diffusion c,17921228,1039,2.718446602,354,94%,2008,AMERICAN JOURNAL OF NEURORADIOLOGY
Stent-Assisted Coiling versus Coiling Alone in Unruptured Intracranial Aneurysms in the Matrix and P,24184523,2964,2.71,355,94%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
Hemodynamics in a cerebral artery before and after the formation of an aneurysm,16687554,380,2.698412698,356,94%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
Do transient ischemic attacks with diffusion-weighted imaging abnormalities correspond to brain infa,16971636,415,2.698412698,356,94%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
Follow-up of intracranial aneurysms selectively treated with coils: Prospective evaluation of contra,16611757,434,2.698412698,356,94%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
Impact of Retrievable Stents on Acute Ischemic Stroke Treatment,21566010,1979,2.69,359,94%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
Focal cortical dysplasia type IIa and IIb: MRI aspects in 118 cases proven by histopathology,22695739,5412,2.685624013,360,94%,2012,NEURORADIOLOGY
"Spinal cord ischemia: aetiology, clinical syndromes and imaging features",25398656,5831,2.680412371,361,94%,2015,NEURORADIOLOGY
4D CT Angiography More Closely Defines Intracranial Thrombus Burden Than Single-Phase CT Angiography,23620073,2610,2.67,362,94%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Clinical applications of diffusion tensor tractography of the spinal cord,17909776,4998,2.669717773,363,94%,2008,NEURORADIOLOGY
Vertebral artery variations and osseous anomaly at the C1-2 level diagnosed by 3D CT angiography in,25001076,5711,2.669404517,364,94%,2014,NEURORADIOLOGY
Are Coil Compaction and Aneurysmal Growth Two Distinct Etiologies Leading to Recurrence Following En,23317437,4259,2.668360864,365,94%,2014,JOURNAL OF NEUROIMAGING
Measurement of Length of Hyperdense MCA Sign in Acute Ischemic Stroke Predicts Disappearance after I,23316960,4262,2.668360864,365,94%,2014,JOURNAL OF NEUROIMAGING
Regional lobar atrophy predicts memory impairment in multiple sclerosis,16091537,36,2.66,367,94%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
Late rebleeding of ruptured intracranial aneurysms treated with detachable coils,16286399,40,2.66,367,94%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
New symptomatic vertebral compression fractures within a year following vertebroplasty in osteoporot,15956537,60,2.66,367,94%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
Intracranial stenting of severe symptomatic intracranial stenosis: Results of 100 consecutive patien,18310234,1069,2.653721683,370,94%,2008,AMERICAN JOURNAL OF NEURORADIOLOGY
Intraplaque Hemorrhage in Symptomatic Intracranial Atherosclerotic Disease,19909397,3977,2.652106084,371,94%,2011,JOURNAL OF NEUROIMAGING
Acute Multiple Sclerosis Lesion: Conversion of Restricted Diffusion Due to Vasogenic Edema,19888931,3984,2.652106084,371,94%,2011,JOURNAL OF NEUROIMAGING
Diffusion Tensor Imaging of Guillain-Mollaret Triangle in Patients with Hypertrophic Olivary Degener,20040011,3986,2.652106084,371,94%,2011,JOURNAL OF NEUROIMAGING
Quantification of Thrombus Hounsfield Units on Noncontrast CT Predicts Stroke Subtype and Early Reca,22158924,2277,2.65,374,94%,2012,AMERICAN JOURNAL OF NEURORADIOLOGY
Role of diffusion-weighted echo-planar MR imaging in differentiation of residual or recurrent head a,17569975,723,2.623906706,375,94%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
CT and ultrasound in the study of ulcerated carotid plaque compared with surgical results: Potential,17569958,730,2.623906706,375,94%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
Diagnostic value of high-resolution MR imaging in giant cell arteritis,17885247,734,2.623906706,375,94%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
"Single-shot, turbo spin-echo, diffusion-weighted imaging versus spin-echo-planar, diffusion-weighted",16908562,394,2.619047619,378,94%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
Transvenous treatment of spontaneous dural carotid-cavernous fistulas using a combination of detacha,16775294,416,2.619047619,378,94%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
MR imaging and angiography of primary CNS vasculitis of childhood,16418382,420,2.619047619,378,94%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
Optimized Preload Leakage-Correction Methods to Improve the Diagnostic Accuracy of Dynamic Susceptib,19749223,1615,2.618542109,381,94%,2010,AMERICAN JOURNAL OF NEURORADIOLOGY
Metal Artifact Reduction for Clipping and Coiling in Interventional C-Arm CT,19942707,1625,2.618542109,381,94%,2010,AMERICAN JOURNAL OF NEURORADIOLOGY
"Stenting and Angioplasty for Idiopathic Intracranial Hypertension: A Case Series with Clinical, Angi",25729814,4369,2.618453865,383,94%,2015,JOURNAL OF NEUROIMAGING
Wall Shear Stress in Major Cerebral Arteries as a Function of Age and Gender-A Study of 301 Healthy,25039410,4372,2.618453865,383,94%,2015,JOURNAL OF NEUROIMAGING
Diffusion-Weighted Echo-Planar MR Imaging of Primary Parotid Gland Tumors: Is a Prediction of Differ,19131405,1334,2.611940299,385,94%,2009,AMERICAN JOURNAL OF NEURORADIOLOGY
MRI Features of Posterior Reversible Encephalopathy Syndrome in 33 Patients,19021847,3909,2.611940299,385,94%,2010,JOURNAL OF NEUROIMAGING
Measurement of Antiplatelet Inhibition during Neurointerventional Procedures: The Effect of Antithro,19018951,3911,2.611940299,385,94%,2010,JOURNAL OF NEUROIMAGING
CT angiography and perfusion imaging in patients with subarachnoid hemorrhage: correlation of vasosp,18850093,5117,2.607361963,388,93%,2009,NEURORADIOLOGY
"Radiological features of IgG4-related disease in the head, neck, and brain",22358111,5416,2.606635071,389,93%,2012,NEURORADIOLOGY
Treatment of intracranial aneurysms. Reconstruction of the parent artery with flow-diverting (Silk),21894512,5418,2.606635071,389,93%,2012,NEURORADIOLOGY
Diagnostic Accuracy of PET for Recurrent Glioma Diagnosis: A Meta-Analysis,23124638,2592,2.6,391,93%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
A DSA-Based Method Using Contrast-Motion Estimation for the Assessment of the Intra-Aneurysmal Flow,23124641,2605,2.6,391,93%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
A Better Characterization of Spinal Cord Damage in Multiple Sclerosis: A Diffusional Kurtosis Imagin,23578677,2616,2.6,391,93%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Carotid Webs and Recurrent Ischemic Strokes in the Era of CT Angiography,26228877,3300,2.595870206,394,93%,2015,AMERICAN JOURNAL OF NEURORADIOLOGY
Using Texture Analysis to Determine Human Papillomavirus Status of Oropharyngeal Squamous Cell Carci,25836725,3301,2.595870206,394,93%,2015,AMERICAN JOURNAL OF NEURORADIOLOGY
Comparison of 3T and 7T Susceptibility-Weighted Angiography of the Substantia Nigra in Diagnosing Pa,25376811,3302,2.595870206,394,93%,2015,AMERICAN JOURNAL OF NEURORADIOLOGY
Assessment of angiographic outcomes after flow diversion treatment of intracranial aneurysms: a new,20838782,5305,2.594995366,397,93%,2011,NEURORADIOLOGY
Diagnostic criteria for spontaneous spinal CSF leaks and intracranial hypotension,18799593,1035,2.588996764,398,93%,2008,AMERICAN JOURNAL OF NEURORADIOLOGY
Intracranial angioplasty and stenting in the awake patient,16808823,3665,2.581755594,399,93%,2006,JOURNAL OF NEUROIMAGING
Statin use is independently associated with smaller infarct volume in nonlacunar MCA territory strok,17032384,3667,2.581755594,399,93%,2006,JOURNAL OF NEUROIMAGING
Cortical projections to the human red nucleus: a diffusion tensor tractography study with a 1.5-T MR,16937147,4682,2.575107296,401,93%,2006,NEURORADIOLOGY
Self-expanding stent-assisted middle cerebral artery recanalization: technical note,16622697,4691,2.575107296,401,93%,2006,NEURORADIOLOGY
Multimodal MR examination in acute ischemic stroke,16508783,4736,2.575107296,401,93%,2006,NEURORADIOLOGY
MR and clinical follow-up of diffusion-weighted cerebral lesions after carotid artery stenting,16219842,65,2.57,404,93%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
Diagnostic Dilemma of Pseudoprogression in the Treatment of Newly Diagnosed Glioblastomas: The Role,21252041,1924,2.57,404,93%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
High-Resolution MR Neurography of Diffuse Peripheral Nerve Lesions,20966057,1932,2.57,404,93%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
Evaluation of Microvascular Permeability with Dynamic Contrast-Enhanced MRI for the Differentiation,24722313,2972,2.57,404,93%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
Y and X Stent-Assisted Coiling of Complex and Wide-Neck Intracranial Bifurcation Aneurysms,25059700,2977,2.57,404,93%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
Voxel-Based Statistical Analysis of Fractional Anisotropy and Mean Diffusivity in Patients with Unil,22211942,4155,2.564102564,410,93%,2013,JOURNAL OF NEUROIMAGING
Stroke following Epidural Injections-Case Report and Review of Literature,21699610,4156,2.564102564,410,93%,2013,JOURNAL OF NEUROIMAGING
Variability in Diagnosing Creutzfeldt-Jakob Disease Using Standard and Proposed Diagnostic Criteria,23163590,4159,2.564102564,410,93%,2013,JOURNAL OF NEUROIMAGING
Differentiation of glioblastoma multiforme and single brain metastasis by peak height and percentage,17569962,719,2.551020408,413,93%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
Pitfalls in the Use of Voxel-Based Morphometry as a Biomarker: Examples from Huntington Disease,20037137,1624,2.547770701,414,93%,2010,AMERICAN JOURNAL OF NEURORADIOLOGY
Dose Exposure of Patients Undergoing Comprehensive Stroke Imaging by Multidetector-Row CT: Compariso,20110373,1633,2.547770701,414,93%,2010,AMERICAN JOURNAL OF NEURORADIOLOGY
Qualification requirements for performing neurointerventional procedures: A report of the practice g,18315594,3774,2.547770701,414,93%,2008,JOURNAL OF NEUROIMAGING
Whole-Brain Proton MR Spectroscopic Imaging in Parkinson's Disease,23228009,4261,2.541296061,417,93%,2014,JOURNAL OF NEUROIMAGING
Angiographic Perfusion Imaging: Real-Time Assessment of Endovascular Treatment for Cerebral Vasospas,24015728,4263,2.541296061,417,93%,2014,JOURNAL OF NEUROIMAGING
Improved delineation of glioma margins and regions of infiltration with the use of diffusion tensor,17032877,376,2.53968254,419,93%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
Endovascular treatment of intracranial vertebral artery dissections with stent placement or stent-as,16908571,389,2.53968254,419,93%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
Posterior reversible encephalopathy syndrome: do predisposing risk factors make a difference in MRI,19234694,5112,2.530674847,421,93%,2009,NEURORADIOLOGY
Differentiation of Primary Central Nervous System Lymphomas and Glioblastomas: Comparisons of Diagno,23348763,2600,2.53,422,93%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Prediction of Pseudoprogression in Patients with Glioblastomas Using the Initial and Final Area Unde,23828115,2602,2.53,422,93%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
The Use of Adaptive Statistical Iterative Reconstruction in Pediatric Head CT: A Feasibility Study,22627796,2621,2.53,422,93%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Diffusion tensor MR imaging in cervical spine trauma,18238846,1044,2.524271845,425,93%,2008,AMERICAN JOURNAL OF NEURORADIOLOGY
Mild Cognitive Impairment: Differential Atrophy in the Hippocampal Subfields,21835940,1946,2.51,426,93%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
Coiling of Large and Giant Aneurysms: Complications and Long-Term Results of 334 Cases,23945229,2969,2.5,427,93%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
"Preoperative Embolization of Intracranial Meningiomas: Efficacy, Technical Considerations, and Compl",24722303,2971,2.5,427,93%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
Mechanical Thrombectomy with Stent Retrievers in Acute Basilar Artery Occlusion,24287087,2974,2.5,427,93%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
High-resolution Diffusion Tensor Imaging for the Detection of Diffusion Abnormalities in the Trigemi,20649853,3980,2.496099844,430,93%,2011,JOURNAL OF NEUROIMAGING
Diffusion-weighted imaging of radiation-induced brain injury for differentiation from tumor recurren,15956515,12,2.49,431,93%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
Prediction of hemorrhage in acute ischemic stroke using permeability MR imaging,16219824,41,2.49,431,93%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
"Early rebleeding after coiling of ruptured cerebral aneurysms: Incidence, morbidity, and risk factor",16091523,45,2.49,431,93%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
Prospective analysis of cerebral infarction after carotid endarterectomy and carotid artery stent pl,15709140,56,2.49,431,93%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
"Relationship of MR-derived lactate, mobile lipids, and relative blood volume for gliomas in vivo",15814918,74,2.49,431,93%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
In vivo assessment and visualization of intracranial arterial hemodynamics with flow-sensitized 4D M,17353308,737,2.478134111,436,93%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
Efficacy and sensitivity of axial scans and different reconstruction methods in the study of the ulc,17416828,755,2.478134111,436,93%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
Predicting Long-Term Outcome after Endovascular Stroke Treatment: The Totaled Health Risks in Vascul,20223889,1629,2.476999292,438,93%,2010,AMERICAN JOURNAL OF NEURORADIOLOGY
Evaluation of Dural Arteriovenous Fistulas with 4D Contrast-Enhanced MR Angiography at 3T,19833802,1638,2.476999292,438,93%,2010,AMERICAN JOURNAL OF NEURORADIOLOGY
The evaluation of FDG-PET imaging for epileptogenic focus localization in patients with MRI positive,23223825,5560,2.47148289,440,93%,2013,NEURORADIOLOGY
Intraoperative MRI to guide the resection of primary supratentorial glioblastoma multiforme - a quan,15951997,4517,2.465753425,441,93%,2005,NEURORADIOLOGY
Intravoxel incoherent motion perfusion imaging in acute stroke: initial clinical experience,24838807,5712,2.464065708,442,93%,2014,NEURORADIOLOGY
Intracranial Aneurysms in Childhood: 27-Year Single-Institution Experience,19357386,1348,2.462686567,443,93%,2009,AMERICAN JOURNAL OF NEURORADIOLOGY
The effects of cement volume on clinical outcomes of percutaneous vertebroplasty,17032870,388,2.46031746,444,93%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
Creutzfeldt-Jakob disease: Comparative analysis of MR imaging sequences,16908558,418,2.46031746,444,93%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
Acute Brain MRI Findings in 120 Malawian Children with Cerebral Malaria: New Insights into an Ancien,22517285,2283,2.46,446,92%,2012,AMERICAN JOURNAL OF NEURORADIOLOGY
Autism Attenuates Sex Differences in Brain Structure: A Combined Voxel-Based Morphometry and Diffusi,22173769,2290,2.46,446,92%,2012,AMERICAN JOURNAL OF NEURORADIOLOGY
Comparison of Stent-Retriever Devices versus the Merci Retriever for Endovascular Treatment of Acute,22790249,2606,2.46,446,92%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Association of Olfactory Bulb Volume and Olfactory Sulcus Depth with Olfactory Function in Patients,21330398,1945,2.45,449,92%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
Comparative in vitro study of five mechanical embolectomy systems: effectiveness of clot removal and,17932666,5019,2.440884821,450,92%,2008,NEURORADIOLOGY
Validation of intracranial area as a surrogate measure of intracranial volume when using clinical MR,17238873,3718,2.430555556,452,92%,2007,JOURNAL OF NEUROIMAGING
A Simple Way to Improve Anatomical Mapping of Functional Brain Imaging,20331499,3907,2.425373134,453,92%,2010,JOURNAL OF NEUROIMAGING
Brachial and lumbar plexuses in chronic inflammatory demyelinating polyradiculoneuropathy: MRI asses,20405114,5310,2.409638554,454,92%,2011,NEURORADIOLOGY
Percutaneous Vertebroplasty and Pulmonary Cement Embolism: Results from VERTOS II,20488908,1621,2.406227884,455,92%,2010,AMERICAN JOURNAL OF NEURORADIOLOGY
Diffusion tensor MR Imaging reveals persistent white matter alteration after traumatic brain injury,17905895,745,2.405247813,456,92%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
Flat panel detector angiopaphic CT for Stent-Assisted coil embolization of broad-based cerebral aneu,17893214,751,2.405247813,456,92%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
Sixty-four-row multisection CT angiography for detection and evaluation of ruptured intracranial ane,17898200,753,2.405247813,456,92%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
"Structural, immunocytochemical, and MR imaging properties of periventricular crossroads of growing c",16286422,17,2.4,459,92%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
Perfusion CT for head and neck tumors: Pilot study,15891181,27,2.4,459,92%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
Local tissue damage assessed with statistical mapping analysis of brain magnetization transfer ratio,15661713,68,2.4,459,92%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
Dynamic 3D MR angiography of intra- and extracranial vascular malformations at 3T: A technical note,15760877,84,2.4,459,92%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
CT Perfusion Mean Transit Time Maps Optimally Distinguish Benign Oligemia from True At-Risk Ischemic,22194372,2286,2.4,459,92%,2012,AMERICAN JOURNAL OF NEURORADIOLOGY
Long-Term Follow-Up after Treatment of Intracranial Aneurysms with the Pipeline Embolization Device:,22158922,2295,2.4,459,92%,2012,AMERICAN JOURNAL OF NEURORADIOLOGY
Susceptibility-weighted Imaging for the evaluation of patients with familial cerebral cavernous malf,17947370,1062,2.394822006,466,92%,2008,AMERICAN JOURNAL OF NEURORADIOLOGY
A new self-expandable nitinol stent for the treatment of wide-neck aneurysms: Initial clinical exper,18436611,1082,2.394822006,466,92%,2008,AMERICAN JOURNAL OF NEURORADIOLOGY
The Role of the Pipeline Embolization Device for the Treatment of Dissecting Intracranial Aneurysms,21885721,1930,2.39,468,92%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
Acute Damage to the Posterior Limb of the Internal Capsule on Diffusion Tensor Tractography as an Ea,21474629,1931,2.39,468,92%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
The Varying Porosity of Braided Self-Expanding Stents and Flow Diverters: An Experimental Study,22878007,2630,2.39,468,92%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Cerebellar Atrophy in Essential Tremor Using an Automated Segmentation Method,19342539,1342,2.388059701,471,92%,2009,AMERICAN JOURNAL OF NEURORADIOLOGY
Clinical and Angiographic Follow-Up of Stent-Only Therapy for Acute Intracranial Vertebrobasilar Dis,19342544,1345,2.388059701,471,92%,2009,AMERICAN JOURNAL OF NEURORADIOLOGY
Apparent diffusion coefficients for differentiation of cerebellar tumors in children,16775298,373,2.380952381,473,92%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
Transient splenial lesion of the corpus callosum in clinically mild influenza-associated encephaliti,17032879,392,2.380952381,473,92%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
High-Level Gait Disorder: Associations with Specific White Matter Changes Observed on Advanced Diffu,22928624,4163,2.380952381,473,92%,2013,JOURNAL OF NEUROIMAGING
"Simple and complex dysembryoplastic neuroepithelial tumors (DNT) variants: clinical profile, MRI, an",19242688,5115,2.377300613,476,92%,2009,NEURORADIOLOGY
Whole-brain voxel-based analysis of diffusion tensor MRI parameters in patients with primary open an,23223846,5562,2.376425856,477,92%,2013,NEURORADIOLOGY
Flow diverter effect on cerebral aneurysm hemodynamics: an in vitro comparison of telescoping stents,23515661,5563,2.376425856,477,92%,2013,NEURORADIOLOGY
Detection and Grading of Endolymphatic Hydrops in Meniere Disease Using MR Imaging,24524921,2973,2.37,479,92%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
Computational Hemodynamics Analysis of Intracranial Aneurysms Treated with Flow Diverters: Correlati,24287091,2980,2.37,479,92%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
Multimodal MRI in the characterization of glial neoplasms: the combined role of single-voxel MR spec,17619871,4887,2.369668246,481,92%,2007,NEURORADIOLOGY
Significance of apparent diffusion coefficient measurement for the differential diagnosis of multipl,22274571,5415,2.369668246,481,92%,2012,NEURORADIOLOGY
Syndrome-Specific Patterns of Regional Cerebral Glucose Metabolism in Posterior Cortical Atrophy in,24593796,4376,2.369077307,483,92%,2015,JOURNAL OF NEUROIMAGING
Approaches to Normalization of Spinal Cord Volume: Application to Multiple Sclerosis,21854479,4085,2.366863905,484,92%,2012,JOURNAL OF NEUROIMAGING
Evolving radiological features of hypothalamo-pituitary lesions in adult patients with Langerhans ce,16292545,4686,2.360515021,485,92%,2006,NEURORADIOLOGY
Focal transient lesion in the splenium of the corpus callosum in three non-epileptic patients,16944123,4697,2.360515021,485,92%,2006,NEURORADIOLOGY
The association between neurological deficit in acute ischemic stroke and mean transit time - Compar,16315062,4699,2.360515021,485,92%,2006,NEURORADIOLOGY
Intrasaccular Flow Disruption in Acutely Ruptured Aneurysms: A Multicenter Retrospective Review of t,26138139,3304,2.359882006,488,92%,2015,AMERICAN JOURNAL OF NEURORADIOLOGY
A Multicenter Analysis of Time to Microcatheter for Endovascular Therapy in Acute Ischemic Stroke,19811609,3991,2.340093604,489,92%,2011,JOURNAL OF NEUROIMAGING
Stent-Assisted Coiling of Intracranial Bifurcation Aneurysms Leads to Immediate and Delayed Intracra,22194381,2281,2.34,490,92%,2012,AMERICAN JOURNAL OF NEURORADIOLOGY
Diffusion MR Imaging of Hypoglycemic Encephalopathy,19875472,1626,2.335456476,491,92%,2010,AMERICAN JOURNAL OF NEURORADIOLOGY
The Efficacy of Endovascular Stenting in the Treatment of Supraclinoid Internal Carotid Artery Blist,20150303,1634,2.335456476,491,92%,2010,AMERICAN JOURNAL OF NEURORADIOLOGY
Diagnosis of lacunar infarcts within 6 hours of onset by clinical and CT criteria versus MRI,18190499,3782,2.335456476,491,92%,2008,JOURNAL OF NEUROIMAGING
MR imaging of metronidazole-induced encephalopathy: Lesion distribution and diffusion-weighted imagi,17885234,724,2.332361516,494,92%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
Whole-brain and regional brain atrophy in amyotrophic lateral sclerosis,17296989,726,2.332361516,494,92%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
Reversibility of venous sinus obstruction in idiopathic intracranial hypertension,17416816,729,2.332361516,494,92%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
Diffusion tensor tractography-based group mapping of the pyramidal tract in relapsing-remitting mult,17296994,749,2.332361516,494,92%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
Effects of Age and Gender on White Matter Integrity,21998104,1927,2.33,498,92%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
Direct Thrombus Retrieval Using the Reperfusion Catheter of the Penumbra System: Forced-Suction Thro,21087940,1934,2.33,498,92%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
A brainstem variant of reversible posterior leukoencephalopathy syndrome,15947925,4535,2.328767123,500,92%,2005,NEURORADIOLOGY
Usefulness of the apparent diffusion coefficient in line scan diffusion-weighted imaging for disting,15891182,18,2.32,501,91%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
Proton MR spectroscopic imaging depicts diffuse axonal injury in children with traumatic brain injur,15891197,32,2.32,501,91%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
Short-term outcome of intracranial aneurysms treated with polyglycolic acid/lactide copolymer-coated,16155135,58,2.32,501,91%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
Intracranial 4D Flow MRI: Toward Individualized Assessment of Arteriovenous Malformation Hemodynamic,23639564,2604,2.32,501,91%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Evolution of Cortical and Thalamus Atrophy and Disability Progression in Early Relapsing-Remitting M,23578679,2607,2.32,501,91%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Imaging Recommendations for Acute Stroke and Transient Ischemic Attack Patients: A Joint Statement b,23948676,2612,2.32,501,91%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Spontaneous Delayed Migration/Shortening of the Pipeline Embolization Device: Report of 5 Cases,23811979,2614,2.32,501,91%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Multicontrast MR Imaging at 7T in Multiple Sclerosis: Highest Lesion Detection in Cortical Gray Matt,23042930,2622,2.32,501,91%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
