Title ,PMID,Point,MNCS,Rank,Percent,Year ,Journal
A unified Bayesian framework for MEG/EEG source imaging,18602278,779,2.41,774,94%,2009,NEUROIMAGE
Structural MRI Biomarkers for Preclinical and Mild Alzheimer's Disease,19277975,780,2.4,780,93%,2009,HUMAN BRAIN MAPPING
"Noninvasive Optical Measures of CBV, StO(2), CBF Index, and rCMRO(2) in Human Premature Neonates' Br",19650140,781,2.4,780,93%,2010,HUMAN BRAIN MAPPING
"Brain Size, Sex, and the Aging Brain",25161056,782,2.4,780,93%,2015,HUMAN BRAIN MAPPING
Pain Anticipation: An Activation Likelihood Estimation Meta-Analysis of Brain Imaging Studies,25529840,783,2.4,780,93%,2015,HUMAN BRAIN MAPPING
"MP2RAGE, a self bias-field corrected sequence for improved segmentation and T-1-mapping at high fiel",19819338,784,2.4,780,93%,2010,NEUROIMAGE
Neural basis of extraordinary empathy and altruistic motivation,20302945,785,2.4,780,93%,2010,NEUROIMAGE
Transcranial direct current stimulation (tDCS) in a realistic head model,20350607,786,2.4,780,93%,2010,NEUROIMAGE
Functional connectivity and alterations in baseline brain state in humans,19631277,787,2.4,780,93%,2010,NEUROIMAGE
Go and no-go learning in reward and punishment: Interactions between affect and effect,22548809,788,2.4,780,93%,2012,NEUROIMAGE
"Comparing Dynamic Causal Models using AIC, BIC and Free Energy",21864690,789,2.4,780,93%,2012,NEUROIMAGE
Short separation channel location impacts the performance of short channel regression in NIRS,21945793,790,2.4,780,93%,2012,NEUROIMAGE
Subfields of the hippocampal formation at 7 T MRI: In vivo volumetric assessment,22440643,791,2.4,780,93%,2012,NEUROIMAGE
Infraslow LFP correlates to resting-state fMRI BOLD signals,23481462,792,2.4,780,93%,2013,NEUROIMAGE
Mind over chatter: Plastic up-regulation of the fMRI salience network directly after EEG neurofeedba,23022326,793,2.4,780,93%,2013,NEUROIMAGE
Reduction of motion-related artifacts in resting state fMRI using aCompCor,24657780,794,2.4,780,93%,2014,NEUROIMAGE
"Effects of diffusion weighting schemes on the reproducibility of DTI-derived fractional anisotropy,",17532649,795,2.39,795,93%,2007,NEUROIMAGE
Attention and reality constraints on the neural processes of empathy for pain,17400480,796,2.39,795,93%,2007,NEUROIMAGE
Neuronal correlates of altered empathy and social cognition in borderline personality disorder,21586330,797,2.39,795,93%,2011,NEUROIMAGE
Magnetic resonance imaging of freely moving objects: Prospective real-time motion correction using a,16600642,798,2.38,798,93%,2006,NEUROIMAGE
Mirroring others' emotions relates to empathy and interpersonal competence in children,18082427,799,2.38,798,93%,2008,NEUROIMAGE
EEG-vigilance and BOLD effect during simultaneous EEG/fMRI measurement,19110062,800,2.38,798,93%,2009,NEUROIMAGE
Corpus callosum in maltreated children with posttraumatic stress disorder: A diffusion tensor imagin,18296031,801,2.379499695,801,93%,2008,PSYCHIATRY RESEARCH-NEUROIMAGING
Dynamical consequences of lesions in cortical networks,18438885,802,2.37,802,93%,2008,HUMAN BRAIN MAPPING
Multivariate Granger Causality Analysis of fMRI Data,18537116,803,2.37,802,93%,2009,HUMAN BRAIN MAPPING
Alterations of the Salience Network in Obesity: A Resting-State fMRI Study,22522963,804,2.37,802,93%,2013,HUMAN BRAIN MAPPING
Learning and comparing functional connectomes across subjects,23583357,805,2.37,802,93%,2013,NEUROIMAGE
Abnormal baseline brain activity in bipolar depression: A resting state functional magnetic resonanc,23017873,806,2.363896848,806,93%,2012,PSYCHIATRY RESEARCH-NEUROIMAGING
Impaired functional but preserved structural connectivity in limbic white matter tracts in youth wit,22819939,807,2.363896848,806,93%,2012,PSYCHIATRY RESEARCH-NEUROIMAGING
ALE meta-analysis: Controlling the false discovery rate and performing statistical contrasts,15846811,808,2.36,808,93%,2005,HUMAN BRAIN MAPPING
Telling truth from lie in individual subjects with fast event-related fMRI,16161128,809,2.36,808,93%,2005,HUMAN BRAIN MAPPING
Validation of Tractography: Comparison With Manganese Tracing,26178765,810,2.36,808,93%,2015,HUMAN BRAIN MAPPING
The many faces of the gamma band response to complex visual stimuli,15784428,811,2.36,808,93%,2005,NEUROIMAGE
Physicians down-regulate their pain empathy response: An event-related brain potential study,20080194,812,2.36,808,93%,2010,NEUROIMAGE
Progressive logopenic/phonological aphasia: Erosion of the language network,19679189,813,2.36,808,93%,2010,NEUROIMAGE
White matter microstructure underlying default mode network connectivity in the human brain,19878723,814,2.36,808,93%,2010,NEUROIMAGE
Multi-contrast human neonatal brain atlas: Application to normal neonate development analysis,21276861,815,2.36,808,93%,2011,NEUROIMAGE
Demyelination and degeneration in the injured human spinal cord detected with diffusion and magnetiz,21232610,816,2.36,808,93%,2011,NEUROIMAGE
Probabilistic fibre tract analysis of cytoarchitectonically defined human inferior parietal lobule a,21718787,817,2.36,808,93%,2011,NEUROIMAGE
Quantifying inter-individual anatomical variability in the subcortex using 7 T structural MRI,24650599,818,2.36,808,93%,2014,NEUROIMAGE
Dynamic changes of spatial functional network connectivity in individuals and schizophrenia patients,24418507,819,2.36,808,93%,2014,NEUROIMAGE
Exploring mechanisms of spontaneous functional connectivity in MEG: How delayed network interactions,24321555,820,2.36,808,93%,2014,NEUROIMAGE
Region-specific modulations in oscillatory alpha activity serve to facilitate processing in the visu,24188814,821,2.36,808,93%,2014,NEUROIMAGE
A comparison of statistical methods for detecting context-modulated functional connectivity in fMRI,24055504,822,2.36,808,93%,2014,NEUROIMAGE
Bistability breaks-off deterministic responses to intracortical stimulation during non-REM sleep,25747918,823,2.36,808,93%,2015,NEUROIMAGE
Cortical maturation and myelination in healthy toddlers and young children,25944614,824,2.36,808,93%,2015,NEUROIMAGE
Alterations of fronto-temporal connectivity during word encoding in schizophrenia,17360163,825,2.353616533,825,93%,2007,PSYCHIATRY RESEARCH-NEUROIMAGING
"White and gray matter development in human fetal, newborn and pediatric brains",16905335,826,2.35,826,93%,2006,NEUROIMAGE
Trauma modulates amygdala and medial prefrontal responses to consciously attended fear,16216534,827,2.35,826,93%,2006,NEUROIMAGE
Comparing hemodynamic models with DCM,17884583,828,2.35,826,93%,2007,NEUROIMAGE
Comparison of grey matter volume and thickness for analysing cortical changes in chronic schizophren,25595222,829,2.34741784,829,93%,2015,PSYCHIATRY RESEARCH-NEUROIMAGING
The Role of Anterior Midcingulate Cortex in Cognitive Motor Control: Evidence From Functional Connec,24115159,830,2.34,830,93%,2014,HUMAN BRAIN MAPPING
Gender differences and age-related white matter changes of the human brain: A diffusion tensor imagi,17951075,831,2.34,830,93%,2008,NEUROIMAGE
Voxel-based diffusion tensor imaging in patients with mesial temporal lobe epilepsy and hippocampal,18261930,832,2.34,830,93%,2008,NEUROIMAGE
Prefrontal GABA and glutathione imbalance in posttraumatic stress disorder: Preliminary findings,25448399,833,2.337228715,833,93%,2014,PSYCHIATRY RESEARCH-NEUROIMAGING
Receptor Architecture of Human Cingulate Cortex: Evaluation of the Four-Region Neurobiological Model,19034899,834,2.33,834,93%,2009,HUMAN BRAIN MAPPING
Self-Regulation of Regional Cortical Activity Using Real-Time fMRI: The Right Inferior Frontal Gyrus,18661503,835,2.33,834,93%,2009,HUMAN BRAIN MAPPING
Prediction of Alzheimer's Disease and Mild Cognitive Impairment Using Cortical Morphological Pattern,22927119,836,2.33,834,93%,2013,HUMAN BRAIN MAPPING
Fiber-tracking does not accurately estimate size of fiber bundle in pathological condition: initial,15784421,837,2.33,834,93%,2005,NEUROIMAGE
Imaging brain fatigue from sustained mental workload: An ASL perfusion study of the time-on-task eff,19925871,838,2.33,834,93%,2010,NEUROIMAGE
Meta-analyzing brain dysfunctions in dyslexic children and adults,21338695,839,2.33,834,93%,2011,NEUROIMAGE
Prefrontal direct current stimulation modulates resting EEG and event-related potentials in healthy,21146614,840,2.33,834,93%,2011,NEUROIMAGE
Linking inter-individual differences in neural activation and behavior to intrinsic brain dynamics,20974260,841,2.33,834,93%,2011,NEUROIMAGE
Network discovery with DCM,21182971,842,2.33,834,93%,2011,NEUROIMAGE
Noninvasive photoacoustic computed tomography of mouse brain metabolism in vivo,22940116,843,2.33,834,93%,2013,NEUROIMAGE
Assessing white matter microstructure of the newborn with multi-shell diffusion MRI and biophysical,24680870,844,2.33,834,93%,2014,NEUROIMAGE
Gray matter myelination of 1555 human brains using partial volume corrected MRI images,25449739,845,2.33,834,93%,2015,NEUROIMAGE
"Optimization of rs-fMRI Pre-processing for Enhanced Signal-Noise Separation, Test-Retest Reliability",25987368,846,2.33,834,93%,2015,NEUROIMAGE
Greater MRI lesion volumes in elderly depressed subjects than in control subjects,15927454,847,2.33,834,93%,2005,PSYCHIATRY RESEARCH-NEUROIMAGING
Prefrontal hypoactivation during cognitive control in early abstinent methamphetamine-dependent subj,22047731,848,2.325581395,848,93%,2011,PSYCHIATRY RESEARCH-NEUROIMAGING
Brain volumetric abnormalities in patients with anorexia and bulimia nervosa: A Voxel-based morphome,23856299,849,2.322206096,849,93%,2013,PSYCHIATRY RESEARCH-NEUROIMAGING
Altered brain response to reward and punishment in adolescents with Anorexia nervosa,24148909,850,2.322206096,849,93%,2013,PSYCHIATRY RESEARCH-NEUROIMAGING
Synchronous Brain Activity during Cooperative Exchange Depends on Gender of Partner: A fNIRS-based H,25691124,851,2.31,851,93%,2015,HUMAN BRAIN MAPPING
Age-Related Changes in the Topological Organization of the White Matter Structural Connectome Across,26173024,852,2.31,851,93%,2015,HUMAN BRAIN MAPPING
Reading cinnamon activates olfactory brain regions,16651007,853,2.31,851,93%,2006,NEUROIMAGE
Exploring the false discovery rate in multichannel NIRS,16959498,854,2.31,851,93%,2006,NEUROIMAGE
Neural correlates of cognitive efficiency,17010646,855,2.31,851,93%,2006,NEUROIMAGE
Trial-by-trial coupling between EEG and BOLD identifies networks related to alpha and theta EEG powe,18840533,856,2.31,851,93%,2009,NEUROIMAGE
BOLD correlates of EEG alpha phase-locking and the fMRI default mode network,19280706,857,2.31,851,93%,2009,NEUROIMAGE
Audiovisual integration in human superior temporal sulcus: Inverse effectiveness and the neural proc,18973818,858,2.31,851,93%,2009,NEUROIMAGE
Amygdala hyperactivation in untreated depressed individuals,19545982,859,2.303370787,859,93%,2009,PSYCHIATRY RESEARCH-NEUROIMAGING
Neuroanatomy of Creativity,26876274,860,2.3,860,93%,2010,HUMAN BRAIN MAPPING
Somatosensory Working Memory Performance in Humans Depends on Both Engagement and Disengagement of R,19569072,861,2.3,860,93%,2010,HUMAN BRAIN MAPPING
Disorder-Specific Dysfunction in Right Inferior Prefrontal Cortex During Two Inhibition Tasks in Boy,19777552,862,2.3,860,93%,2010,HUMAN BRAIN MAPPING
Altered Default Mode Network Connectivity in Alzheimer's Disease-A Resting Functional MRI and Bayesi,21259382,863,2.3,860,93%,2011,HUMAN BRAIN MAPPING
The neural correlates and functional integration of cognitive control in a Stroop task,15627596,864,2.3,860,93%,2005,NEUROIMAGE
Support vector machines for temporal classification of block design fMRI data,15907293,865,2.3,860,93%,2005,NEUROIMAGE
Identification of emotional intonation evaluated by fMRI,15670701,866,2.3,860,93%,2005,NEUROIMAGE
Neural systems supporting lexical search guided by letter and semantic category cues: A self-paced o,19632335,867,2.3,860,93%,2010,NEUROIMAGE
Ventral striatal and medial prefrontal BOLD activation is correlated with reward-related electrocort,21624476,868,2.3,860,93%,2011,NEUROIMAGE
Evidence for potentials and limitations of brain plasticity using an atlas of functional resectabili,21414413,869,2.3,860,93%,2011,NEUROIMAGE
Effects of transcranial direct current stimulation (tDCS) on human regional cerebral blood flow,21703350,870,2.3,860,93%,2011,NEUROIMAGE
Impact of mindfulness-based stress reduction training on intrinsic brain connectivity,21334442,871,2.3,860,93%,2011,NEUROIMAGE
Differential effects of the APOE genotype on brain function across the lifespan,20705142,872,2.3,860,93%,2011,NEUROIMAGE
"Different functions in the cingulate cortex, a meta-analytic connectivity modeling study",21459151,873,2.3,860,93%,2011,NEUROIMAGE
Capturing inter-subject variability with group independent component analysis of fMRI data: A simula,22019879,874,2.3,860,93%,2012,NEUROIMAGE
Connectivity differences in brain networks,22273567,875,2.3,860,93%,2012,NEUROIMAGE
Networks of task co-activations,23631994,876,2.3,860,93%,2013,NEUROIMAGE
Corpus callosal connection mapping using cortical gray matter parcellation and DT-MRI,17133394,877,2.29,877,93%,2008,HUMAN BRAIN MAPPING
Early changes in white matter pathways of the sensorimotor cortex in premanifest Huntington's diseas,21264990,878,2.29,877,93%,2012,HUMAN BRAIN MAPPING
Towards quantitative connectivity analysis: reducing tractography biases,24816531,879,2.29,877,93%,2014,NEUROIMAGE
Cortical control of normal gait and precision stepping: An fNIRS study,23631980,880,2.29,877,93%,2014,NEUROIMAGE
The human voice areas: Spatial organization and inter-individual variability in temporal and extra-t,26116964,881,2.29,877,93%,2015,NEUROIMAGE
Prefrontal involvement in imitation learning of hand actions: Effects of practice and expertise,17698372,882,2.28,882,93%,2007,NEUROIMAGE
Structural and Functional Connectivity of the Human Brain in Autism Spectrum Disorders and Attention,25116862,883,2.27,883,93%,2014,HUMAN BRAIN MAPPING
Sparse estimation automatically selects voxels relevant for the decoding of fMRI activity patterns,18598768,884,2.27,883,93%,2008,NEUROIMAGE
Lesion identification using unified segmentation-normalisation models and fuzzy clustering,18482850,885,2.27,883,93%,2008,NEUROIMAGE
Sparsely-distributed organization of face and limb activations in human ventral temporal cortex,20457261,886,2.27,883,93%,2010,NEUROIMAGE
Sources of group differences in functional connectivity: An investigation applied to autism spectrum,19646533,887,2.27,883,93%,2010,NEUROIMAGE
Defining the Face Processing Network: Optimization of the Functional Localizer in fMRI,18661501,888,2.26,888,93%,2009,HUMAN BRAIN MAPPING
"Network Anticorrelations, Global Regression, and Phase-Shifted Soft Tissue Correction",20533557,889,2.26,888,93%,2011,HUMAN BRAIN MAPPING
